"date","day_month","year","month","quarter","season","date-2","open_price","high_price","low_price","close_price","adj_close","volume","open_change","high_change","low_change","close_change","volume_change","gain_loss_open","gain_loss_high","gain_loss_low","gain_loss_close","gain_loss_volume"
"10/10/19","10-Oct","2019","10","Q4","Fall","10/10/19","56.982498","57.610001","56.825001","57.522499","56.678173","113013600","3.517498","3.415001","3.897499","3.3475","-14098000","Gain","Gain","Gain","Gain","Loss"
"10/1/02","1-Oct","2002","10","Q4","Fall","10/1/02","0.378929","0.383214","0.361607","0.379107","0.325995","452737600","0.121786","0.123035","0.109107","0.120178","215040000","Gain","Gain","Gain","Gain","Gain"
"10/1/03","1-Oct","2003","10","Q4","Fall","10/1/03","0.260357","0.264643","0.25875","0.262857","0.226032","175100800","-0.11625","-0.114286","-0.10625","-0.107143","-110325600","Loss","Loss","Loss","Loss","Loss"
"10/1/05","1-Oct","2005","10","Q4","Fall","10/1/05","1.246964","1.2625","1.212143","1.231429","1.058909","1725309600","-0.621965","-0.653571","-0.640714","-0.683214","1193676400","Loss","Loss","Loss","Loss","Gain"
"10/1/06","1-Oct","2006","10","Q4","Fall","10/1/06","2.723214","2.924643","2.708214","2.887857","2.483276","2279869200","-0.030715","0.156072","-0.030357","0.138571","1874056800","Loss","Gain","Loss","Gain","Gain"
"10/1/07","1-Oct","2007","10","Q4","Fall","10/1/07","3.383929","3.492857","3.3375","3.464286","2.97895","2952880000","-2.096071","-2.028572","-2.117857","-2.016785","2337778800","Loss","Loss","Loss","Loss","Gain"
"10/1/08","1-Oct","2008","10","Q4","Fall","10/1/08","6.342143","6.464286","6.264643","6.357857","5.467139","1482975200","2.476072","2.357143","2.468214","2.298571","-143707200","Gain","Gain","Gain","Gain","Loss"
"10/10/83","10-Oct","1983","10","Q4","Fall","10/10/83","0.089844","0.089844","0.082031","0.08817","0.069212","517126400","-0.063616","-0.064732","-0.067523","-0.064732","355152000","Loss","Loss","Loss","Loss","Gain"
"10/10/84","10-Oct","1984","10","Q4","Fall","10/10/84","0.109933","0.109933","0.106585","0.106585","0.083667","364851200","-0.008371","-0.008929","-0.008928","-0.011161","300227200","Loss","Loss","Loss","Loss","Gain"
"10/10/85","10-Oct","1985","10","Q4","Fall","10/10/85","0.070871","0.071429","0.070871","0.070871","0.055632","261744000","0.002233","0.001675","0.002233","0.002233","139977600","Gain","Gain","Gain","Gain","Gain"
"10/10/86","10-Oct","1986","10","Q4","Fall","10/10/86","0.146763","0.148996","0.144531","0.148438","0.116521","58531200","-0.012277","-0.01116","-0.010603","-0.007812","-17136000","Loss","Loss","Loss","Loss","Loss"
"10/10/88","10-Oct","1988","10","Q4","Fall","10/10/88","0.352679","0.354911","0.334821","0.34375","0.272773","332640000","-0.037946","-0.035714","-0.037947","-0.030134","184833600","Loss","Loss","Loss","Loss","Gain"
"10/10/89","10-Oct","1989","10","Q4","Fall","10/10/89","0.444196","0.449777","0.433036","0.441964","0.354214","287123200","0.051339","0.05692","0.05134","0.055803","134758400","Gain","Gain","Gain","Gain","Gain"
"10/10/90","10-Oct","1990","10","Q4","Fall","10/10/90","0.243304","0.25","0.232143","0.236607","0.191817","147907200","-0.087053","-0.080357","-0.087053","-0.082589","71926400","Loss","Loss","Loss","Loss","Gain"
"10/10/91","10-Oct","1991","10","Q4","Fall","10/10/91","0.435268","0.4375","0.417411","0.426339","0.349193","157214400","-0.035714","-0.039063","-0.026785","-0.021206","-25625600","Loss","Loss","Loss","Loss","Loss"
"10/10/94","10-Oct","1994","10","Q4","Fall","10/10/94","0.331473","0.353795","0.330357","0.347098","0.294217","523409600","0.03125","0.042411","0.033482","0.037946","269841600","Gain","Gain","Gain","Gain","Gain"
"10/10/95","10-Oct","1995","10","Q4","Fall","10/10/95","0.30692","0.3125","0.300223","0.30971","0.265493","400265600","-0.078125","-0.073661","-0.080357","-0.071986","236241600","Loss","Loss","Loss","Loss","Gain"
"10/10/96","10-Oct","1996","10","Q4","Fall","10/10/96","0.21317","0.21875","0.212054","0.21596","0.185705","276696000","0.015625","0.021205","0.02009","0.023996","120982400","Gain","Gain","Gain","Gain","Gain"
"10/10/97","10-Oct","1997","10","Q4","Fall","10/10/97","0.191964","0.203125","0.191964","0.202567","0.174188","270401600","-0.002232","-0.003348","-0.001674","-0.002232","-3662400","Loss","Loss","Loss","Loss","Loss"
"10/11/00","11-Oct","2000","10","Q4","Fall","10/11/00","0.345703","0.354911","0.340402","0.340402","0.292713","422251200","-0.040458","-0.045759","-0.025669","-0.032366","-268850400","Loss","Loss","Loss","Loss","Loss"
"10/11/03","11-Oct","2003","10","Q4","Fall","10/11/03","0.400893","0.404464","0.39","0.391071","0.336283","234276000","-0.01875","-0.020715","-0.027321","-0.031786","59438400","Loss","Loss","Loss","Loss","Gain"
"10/11/04","11-Oct","2004","10","Q4","Fall","10/11/04","0.963393","0.989107","0.962679","0.977679","0.840709","508676000","0.326607","0.342143","0.329465","0.337143","180661600","Gain","Gain","Gain","Gain","Gain"
"10/11/05","11-Oct","2005","10","Q4","Fall","10/11/05","2.165714","2.185714","2.1075","2.185","1.878888","665344400","0.317143","0.331785","0.311786","0.386071","157838800","Gain","Gain","Gain","Gain","Gain"
"10/11/06","11-Oct","2006","10","Q4","Fall","10/11/06","2.983929","2.985714","2.946429","2.968571","2.552682","373864400","0.321786","0.322143","0.336429","0.3325","-157724000","Gain","Gain","Gain","Gain","Loss"
"10/11/08","11-Oct","2008","10","Q4","Fall","10/11/08","3.5775","3.585714","3.375","3.424286","2.944554","1123822000","0.516786","0.014285","0.339286","-0.032857","-1095477600","Gain","Gain","Gain","Loss","Loss"
"10/11/09","11-Oct","2009","10","Q4","Fall","10/11/09","7.179286","7.320714","7.178929","7.249286","6.233681","401195200","1.034286","1.133214","1.078572","1.086429","-89938800","Gain","Gain","Gain","Gain","Loss"
"10/1/11","1-Oct","2011","10","Q4","Fall","10/1/11","12.101071","12.258214","12.041786","12.230357","10.51692","448560000","-1.724643","-1.630715","-1.571785","-1.388214","-99080800","Loss","Loss","Loss","Loss","Loss"
"10/11/10","11-Oct","2010","10","Q4","Fall","10/11/10","11.308571","11.384643","11.198214","11.358214","9.766962","384227200","1.908928","1.938214","1.8625","1.950714","-3315200","Gain","Gain","Gain","Gain","Loss"
"10/11/11","11-Oct","2011","10","Q4","Fall","10/11/11","14.179643","14.186071","13.648214","13.757857","11.830421","744752400","0.640714","0.3","0.140714","-0.128214","302237600","Gain","Gain","Gain","Loss","Gain"
"10/11/14","11-Oct","2014","10","Q4","Fall","10/11/14","27.254999","27.3325","27.1675","27.2075","24.705734","108782000","2.082498","1.825","2.092499","2.024999","-156544400","Gain","Gain","Gain","Gain","Loss"
"10/11/15","11-Oct","2015","10","Q4","Fall","10/11/15","29.225","29.5175","29.014999","29.192499","26.959873","236511600","1.657501","1.1975","1.539999","1.049999","-15059600","Gain","Gain","Gain","Gain","Loss"
"10/11/16","11-Oct","2016","10","Q4","Fall","10/11/16","27.772499","27.772499","26.4575","26.9475","25.440268","228538000","-0.9825","-1.415001","-2.2225","-2.065001","83594000","Loss","Loss","Loss","Loss","Gain"
"10/11/17","11-Oct","2017","10","Q4","Fall","10/11/17","43.7775","43.845001","43.567501","43.6675","41.888023","100582000","4.762501","4.345001","4.792499","4.692502","38114000","Gain","Gain","Gain","Gain","Gain"
"10/1/12","1-Oct","2012","10","Q4","Fall","10/1/12","15.211071","15.214286","15.053571","15.115714","12.998045","258196400","-9.030001","-9.111071","-8.758929","-8.709287","-276914400","Loss","Loss","Loss","Loss","Loss"
"10/11/20","11-Oct","2020","10","Q4","Fall","10/11/20","115.550003","117.589996","114.129997","115.970001","115.600609","138023400","-4.809998","-2.910004","1.629997","2.480003","-44251000","Loss","Loss","Gain","Gain","Loss"
"10/1/13","1-Oct","2013","10","Q4","Fall","10/1/13","18.876785","18.882856","18.411428","18.696787","16.220201","601146000","1.832142","1.680713","1.468214","1.67","340989600","Gain","Gain","Gain","Gain","Gain"
"10/1/14","1-Oct","2014","10","Q4","Fall","10/1/14","19.279642","19.314285","18.968214","19.033571","16.927183","304976000","-5.922857","-6.070715","-6.164286","-6.153929","83919600","Loss","Loss","Loss","Loss","Gain"
"10/1/17","1-Oct","2017","10","Q4","Fall","10/1/17","29.692499","29.844999","29.575001","29.7775","28.111979","97848400","-8.610003","-8.687502","-8.424999","-8.752499","-7350800","Loss","Loss","Loss","Loss","Loss"
"10/1/18","1-Oct","2018","10","Q4","Fall","10/1/18","43.290001","43.575001","43.25","43.572498","41.796894","95839600","-12.907497","-12.884998","-12.755001","-12.862503","4122000","Loss","Loss","Loss","Loss","Gain"
"10/11/81","11-Oct","1981","10","Q4","Fall","10/11/81","0.082031","0.082589","0.082031","0.082031","0.064393","16755200","-0.006697","-0.006697","-0.006697","-0.006697","-18054400","Loss","Loss","Loss","Loss","Loss"
"10/11/82","11-Oct","1982","10","Q4","Fall","10/11/82","0.133929","0.140625","0.133929","0.138393","0.108636","202787200","0.053014","0.059152","0.053014","0.057478","146720000","Gain","Gain","Gain","Gain","Gain"
"10/11/83","11-Oct","1983","10","Q4","Fall","10/11/83","0.085938","0.089844","0.085938","0.087612","0.068774","222073600","-0.003906","0","0.003907","-0.000558","-295052800","Loss","Gain","Gain","Loss","Loss"
"10/11/86","11-Oct","1986","10","Q4","Fall","10/11/86","0.160156","0.160156","0.156808","0.157924","0.123967","105884800","0.013393","0.01116","0.012277","0.009486","47353600","Gain","Gain","Gain","Gain","Gain"
"10/11/87","11-Oct","1987","10","Q4","Fall","10/11/87","0.325893","0.334821","0.321429","0.323661","0.254784","231840000","-0.149553","-0.151786","-0.152901","-0.15625","91840000","Loss","Loss","Loss","Loss","Gain"
"10/11/88","11-Oct","1988","10","Q4","Fall","10/11/88","0.352679","0.354911","0.348214","0.352679","0.279859","99915200","0","0","0.013393","0.008929","-232724800","Gain","Gain","Gain","Gain","Loss"
"10/11/89","11-Oct","1989","10","Q4","Fall","10/11/89","0.408482","0.419643","0.408482","0.417411","0.334536","64859200","-0.035714","-0.030134","-0.024554","-0.024553","-222264000","Loss","Loss","Loss","Loss","Loss"
"10/1/19","1-Oct","2019","10","Q4","Fall","10/1/19","38.125","38.4925","37.715","38.450001","37.436874","143122800","-17.099998","-17.6525","-17.482498","-17.542499","39213200","Loss","Loss","Loss","Loss","Gain"
"10/11/92","11-Oct","1992","10","Q4","Fall","10/11/92","0.491071","0.504464","0.488839","0.502232","0.415057","122225600","0.0625","0.0625","0.064732","0.0625","-105952000","Gain","Gain","Gain","Gain","Loss"
"10/11/93","11-Oct","1993","10","Q4","Fall","10/11/93","0.270089","0.274554","0.267857","0.274554","0.229358","76977600","0.035714","0.040179","0.041294","0.040179","-57512000","Gain","Gain","Gain","Gain","Loss"
"10/11/94","11-Oct","1994","10","Q4","Fall","10/11/94","0.372768","0.373884","0.366071","0.368862","0.312665","152980800","0.041295","0.020089","0.035714","0.021764","-370428800","Gain","Gain","Gain","Gain","Loss"
"10/11/95","11-Oct","1995","10","Q4","Fall","10/11/95","0.351563","0.359375","0.347098","0.354911","0.304241","223115200","0.044643","0.046875","0.046875","0.045201","-177150400","Gain","Gain","Gain","Gain","Loss"
"10/11/97","11-Oct","1997","10","Q4","Fall","10/11/97","0.1875","0.191964","0.165179","0.166853","0.143477","1398241600","-0.004464","-0.011161","-0.026785","-0.035714","1127840000","Loss","Loss","Loss","Loss","Gain"
"10/11/98","11-Oct","1998","10","Q4","Fall","10/11/98","0.323103","0.323661","0.3125","0.313616","0.269679","883982400","-0.000558","-0.017857","-0.006696","-0.026786","357100800","Loss","Loss","Loss","Loss","Gain"
"10/11/99","11-Oct","1999","10","Q4","Fall","10/11/99","0.787946","0.832589","0.78683","0.816406","0.70203","577897600","0.109375","0.138951","0.119977","0.125","119134400","Gain","Gain","Gain","Gain","Gain"
"10/1/20","1-Oct","2020","10","Q4","Fall","10/1/20","77.650002","78.167503","77.0625","77.582497","76.673225","140644800","-36.139999","-39.092499","-36.557503","-38.227501","-2030400","Loss","Loss","Loss","Loss","Loss"
"10/12/01","12-Oct","2001","10","Q4","Fall","10/12/01","0.398036","0.410536","0.396964","0.4025","0.346111","170010400","0.110536","0.109643","0.112143","0.102143","-137748800","Gain","Gain","Gain","Gain","Loss"
"10/12/02","12-Oct","2002","10","Q4","Fall","10/12/02","0.263393","0.275893","0.263036","0.272857","0.23463","308610400","0.02","0.021964","0.020536","0.020893","-12964000","Gain","Gain","Gain","Gain","Loss"
"10/12/03","12-Oct","2003","10","Q4","Fall","10/12/03","0.365179","0.368036","0.356429","0.363929","0.312944","271336800","-0.035714","-0.036428","-0.033571","-0.027142","37060800","Loss","Loss","Loss","Loss","Gain"
"10/12/04","12-Oct","2004","10","Q4","Fall","10/12/04","1.16125","1.179464","1.155357","1.163393","1.000405","775773600","0.197857","0.190357","0.192678","0.185714","267097600","Gain","Gain","Gain","Gain","Gain"
"10/12/07","12-Oct","2007","10","Q4","Fall","10/12/07","6.913929","6.987857","6.881786","6.936071","5.964347","722377600","0.93","0.992143","0.9675","0.979285","54787600","Gain","Gain","Gain","Gain","Gain"
"10/12/08","12-Oct","2008","10","Q4","Fall","10/12/08","3.495357","3.553214","3.446429","3.5075","3.016109","938047600","-0.082143","-0.0325","0.071429","0.083214","-185774400","Loss","Loss","Gain","Gain","Loss"
"10/12/09","12-Oct","2009","10","Q4","Fall","10/12/09","7.125","7.132143","7.004286","7.015357","6.032526","489669600","-0.054286","-0.188571","-0.174643","-0.233929","88474400","Loss","Loss","Loss","Loss","Gain"
"10/12/10","12-Oct","2010","10","Q4","Fall","10/12/10","11.416071","11.466071","11.378571","11.448571","9.844659","262511200","0.1075","0.081428","0.180357","0.090357","-121716000","Gain","Gain","Gain","Gain","Loss"
"10/12/12","12-Oct","2012","10","Q4","Fall","10/12/12","18.75","19.2325","18.627857","18.922144","16.415707","630484400","-4.097857","-3.8025","-4.122143","-3.967499","120128400","Loss","Loss","Loss","Loss","Gain"
"10/12/13","12-Oct","2013","10","Q4","Fall","10/12/13","20.127857","20.281429","20.042856","20.198214","17.962944","278269600","2.580713","2.69643","2.648571","2.711071","-333200","Gain","Gain","Gain","Gain","Loss"
"10/12/14","12-Oct","2014","10","Q4","Fall","10/12/14","28.602501","28.7125","27.885","27.987499","25.414015","178261200","1.347502","1.38","0.7175","0.779999","69479200","Gain","Gain","Gain","Gain","Gain"
"10/12/15","12-Oct","2015","10","Q4","Fall","10/12/15","29.01","29.235001","28.877501","29.0425","26.821341","116850800","-0.215","-0.282499","-0.137498","-0.149999","-119660800","Loss","Loss","Loss","Loss","Loss"
"10/12/18","12-Oct","2018","10","Q4","Fall","10/12/18","41.25","42.522499","40.8325","42.400002","41.282795","248104000","-15.115002","-14.065003","-13.180001","-11.689998","80141600","Loss","Loss","Loss","Loss","Gain"
"10/12/19","12-Oct","2019","10","Q4","Fall","10/12/19","67.150002","67.517502","66.464996","67.120003","66.333351","90420400","10.167504","9.907501","9.639995","9.597504","-22593200","Gain","Gain","Gain","Gain","Loss"
"10/12/20","12-Oct","2020","10","Q4","Fall","10/12/20","120.5","123.870003","120.150002","123.239998","122.84745","81312200","4.949997","6.280007","6.020005","7.269997","-56711200","Gain","Gain","Gain","Gain","Loss"
"10/12/81","12-Oct","1981","10","Q4","Fall","10/12/81","0.084263","0.084821","0.084263","0.084263","0.066145","37408000","0.002232","0.002232","0.002232","0.002232","20652800","Gain","Gain","Gain","Gain","Gain"
"10/12/82","12-Oct","1982","10","Q4","Fall","10/12/82","0.138393","0.138393","0.128906","0.13058","0.102503","167484800","0.004464","-0.002232","-0.005023","-0.007813","-35302400","Gain","Loss","Loss","Loss","Loss"
"10/12/84","12-Oct","1984","10","Q4","Fall","10/12/84","0.121652","0.121652","0.11942","0.11942","0.093742","111484800","0.011719","0.011719","0.012835","0.012835","-253366400","Gain","Gain","Gain","Gain","Loss"
"10/12/85","12-Oct","1985","10","Q4","Fall","10/12/85","0.086496","0.087612","0.085938","0.087054","0.068336","200905600","0.015625","0.016183","0.015067","0.016183","-60838400","Gain","Gain","Gain","Gain","Loss"
"10/12/86","12-Oct","1986","10","Q4","Fall","10/12/86","0.189174","0.195313","0.1875","0.194196","0.15244","244160000","0.029018","0.035157","0.030692","0.036272","138275200","Gain","Gain","Gain","Gain","Gain"
"10/12/87","12-Oct","1987","10","Q4","Fall","10/12/87","0.301339","0.321429","0.296875","0.310268","0.244773","276640000","-0.024554","-0.013392","-0.024554","-0.013393","44800000","Loss","Loss","Loss","Loss","Gain"
"10/12/90","12-Oct","1990","10","Q4","Fall","10/12/90","0.377232","0.379464","0.370536","0.372768","0.303212","250588800","0.133928","0.129464","0.138393","0.136161","102681600","Gain","Gain","Gain","Gain","Gain"
"10/12/91","12-Oct","1991","10","Q4","Fall","10/12/91","0.4375","0.441964","0.433036","0.438616","0.360112","122617600","0.002232","0.004464","0.015625","0.012277","-34596800","Gain","Gain","Gain","Gain","Loss"
"10/12/92","12-Oct","1992","10","Q4","Fall","10/12/92","0.511161","0.514509","0.504464","0.511161","0.423335","140190400","0.02009","0.010045","0.015625","0.008929","17964800","Gain","Gain","Gain","Gain","Gain"
"10/12/93","12-Oct","1993","10","Q4","Fall","10/12/93","0.270089","0.272321","0.247768","0.252232","0.211468","497257600","0","-0.002233","-0.020089","-0.022322","420280000","Gain","Loss","Loss","Loss","Gain"
"10/12/96","12-Oct","1996","10","Q4","Fall","10/12/96","0.222098","0.223214","0.216518","0.21875","0.188104","184284800","0.008928","0.004464","0.004464","0.00279","-92411200","Gain","Gain","Gain","Gain","Loss"
"10/12/97","12-Oct","1997","10","Q4","Fall","10/12/97","0.134487","0.134487","0.129464","0.131696","0.113246","194880000","-0.053013","-0.057477","-0.035715","-0.035157","-1203361600","Loss","Loss","Loss","Loss","Loss"
"10/12/98","12-Oct","1998","10","Q4","Fall","10/12/98","0.291853","0.294085","0.284598","0.285714","0.245686","391249600","-0.03125","-0.029576","-0.027902","-0.027902","-492732800","Loss","Loss","Loss","Loss","Loss"
"10/12/99","12-Oct","1999","10","Q4","Fall","10/12/99","0.94029","0.975446","0.883929","0.919643","0.790804","637761600","0.152344","0.142857","0.097099","0.103237","59864000","Gain","Gain","Gain","Gain","Gain"
"10/13/00","13-Oct","2000","10","Q4","Fall","10/13/00","0.361607","0.395089","0.357143","0.393973","0.338778","1247752800","0.015904","0.040178","0.016741","0.053571","825501600","Gain","Gain","Gain","Gain","Gain"
"10/13/03","13-Oct","2003","10","Q4","Fall","10/13/03","0.42375","0.435893","0.423571","0.434821","0.373904","279865600","0.058571","0.067857","0.067142","0.070892","8528800","Gain","Gain","Gain","Gain","Gain"
"10/13/04","13-Oct","2004","10","Q4","Fall","10/13/04","0.694107","0.71","0.691786","0.709821","0.610377","1163008000","-0.467143","-0.469464","-0.463571","-0.453572","387234400","Loss","Loss","Loss","Loss","Gain"
"10/13/05","13-Oct","2005","10","Q4","Fall","10/13/05","1.765714","1.926786","1.759643","1.919286","1.6504","1865575600","-0.4","-0.258928","-0.347857","-0.265714","1200231200","Loss","Loss","Loss","Loss","Gain"
"10/13/06","13-Oct","2006","10","Q4","Fall","10/13/06","2.701071","2.745714","2.669286","2.679286","2.303926","684196800","-0.282858","-0.24","-0.277143","-0.289285","310332400","Loss","Loss","Loss","Loss","Gain"
"10/13/08","13-Oct","2008","10","Q4","Fall","10/13/08","3.733929","3.9475","3.607857","3.937857","3.386174","1539076000","0.238572","0.394286","0.161428","0.430357","601028400","Gain","Gain","Gain","Gain","Gain"
"10/13/09","13-Oct","2009","10","Q4","Fall","10/13/09","6.808214","6.8275","6.775","6.786429","5.83567","348020400","-0.316786","-0.304643","-0.229286","-0.228928","-141649200","Loss","Loss","Loss","Loss","Loss"
"10/13/10","13-Oct","2010","10","Q4","Fall","10/13/10","10.721429","10.784286","10.707143","10.719286","9.217547","630092400","-0.694642","-0.681785","-0.671428","-0.729285","367581200","Loss","Loss","Loss","Loss","Gain"
"10/13/11","13-Oct","2011","10","Q4","Fall","10/13/11","14.463571","14.586786","14.3875","14.586786","12.543222","426185200","0.283928","0.400715","0.739286","0.828929","-318567200","Gain","Gain","Gain","Gain","Loss"
"10/13/14","13-Oct","2014","10","Q4","Fall","10/13/14","25.3325","25.445","24.952499","24.952499","22.560261","214333600","-3.270001","-3.2675","-2.932501","-3.035","36072400","Loss","Loss","Loss","Loss","Gain"
"10/13/15","13-Oct","2015","10","Q4","Fall","10/13/15","27.705","28.112499","27.67","27.9475","25.700075","132197200","-1.305","-1.122502","-1.207501","-1.095","15346400","Loss","Loss","Loss","Loss","Gain"
"10/13/16","13-Oct","2016","10","Q4","Fall","10/13/16","29.1975","29.360001","28.93","29.245001","27.468241","140769600","1.425001","1.587502","2.4725","2.297501","-87768400","Gain","Gain","Gain","Gain","Loss"
"10/13/17","13-Oct","2017","10","Q4","Fall","10/13/17","39.182499","39.32","39.102501","39.247501","37.513294","65576800","-4.595001","-4.525001","-4.465","-4.419999","-35005200","Loss","Loss","Loss","Loss","Loss"
"10/13/20","13-Oct","2020","10","Q4","Fall","10/13/20","125.269997","125.389999","119.650002","121.099998","120.506355","262330500","4.769997","1.519996","-0.5","-2.14","181018300","Gain","Gain","Loss","Loss","Gain"
"10/13/81","13-Oct","1981","10","Q4","Fall","10/13/81","0.085938","0.087054","0.085938","0.085938","0.06746","44195200","0.001675","0.002233","0.001675","0.001675","6787200","Gain","Gain","Gain","Gain","Gain"
"10/13/82","13-Oct","1982","10","Q4","Fall","10/13/82","0.103795","0.108259","0.102679","0.104911","0.082353","198844800","-0.034598","-0.030134","-0.026227","-0.025669","31360000","Loss","Loss","Loss","Loss","Gain"
"10/13/83","13-Oct","1983","10","Q4","Fall","10/13/83","0.097098","0.107143","0.097098","0.102679","0.080601","420515200","0.01116","0.017299","0.01116","0.015067","198441600","Gain","Gain","Gain","Gain","Gain"
"10/13/86","13-Oct","1986","10","Q4","Fall","10/13/86","0.147879","0.154576","0.147321","0.154576","0.121339","99680000","-0.041295","-0.040737","-0.040179","-0.03962","-144480000","Loss","Loss","Loss","Loss","Loss"
"10/13/87","13-Oct","1987","10","Q4","Fall","10/13/87","0.486607","0.488839","0.475446","0.486607","0.383053","162400000","0.185268","0.16741","0.178571","0.176339","-114240000","Gain","Gain","Gain","Gain","Loss"
"10/13/88","13-Oct","1988","10","Q4","Fall","10/13/88","0.34375","0.354911","0.34375","0.348214","0.276315","164460800","-0.008929","0","-0.004464","-0.004465","64545600","Loss","Gain","Loss","Loss","Gain"
"10/13/89","13-Oct","1989","10","Q4","Fall","10/13/89","0.435268","0.441964","0.401786","0.408482","0.32738","201118400","0.026786","0.022321","-0.006696","-0.008929","136259200","Gain","Gain","Loss","Loss","Gain"
"10/13/92","13-Oct","1992","10","Q4","Fall","10/13/92","0.399554","0.410714","0.392857","0.405134","0.334813","147179200","-0.111607","-0.103795","-0.111607","-0.106027","6988800","Loss","Loss","Loss","Loss","Gain"
"10/13/93","13-Oct","1993","10","Q4","Fall","10/13/93","0.216518","0.216518","0.209821","0.214286","0.179011","177004800","-0.053571","-0.055803","-0.037947","-0.037946","-320252800","Loss","Loss","Loss","Loss","Loss"
"10/13/94","13-Oct","1994","10","Q4","Fall","10/13/94","0.38058","0.382813","0.362723","0.367188","0.311246","525302400","0.007812","0.008929","-0.003348","-0.001674","372321600","Gain","Gain","Loss","Loss","Gain"
"10/13/95","13-Oct","1995","10","Q4","Fall","10/13/95","0.319196","0.329241","0.316964","0.321429","0.275539","235188800","-0.032367","-0.030134","-0.030134","-0.033482","12073600","Loss","Loss","Loss","Loss","Gain"
"10/13/97","13-Oct","1997","10","Q4","Fall","10/13/97","0.203125","0.204241","0.198103","0.202567","0.174188","158625600","0.068638","0.069754","0.068639","0.070871","-36254400","Gain","Gain","Gain","Gain","Loss"
